,timestamp_leitura,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z
10,2023-04-21 20:11:01.306677,3.256114244,1.474828243,8.868123055,-0.099656969,0.018918836,-0.011724349
11,2023-04-21 20:11:01.306677,3.253720045,1.479616642,8.865729332,-0.099656969,0.018385911,-0.011724349
12,2023-04-21 20:11:01.306677,3.253720045,1.484405041,8.865729332,-0.099656969,0.018119449,-0.011990812
13,2023-04-21 20:11:01.306677,3.253720045,1.48679924,8.858546257,-0.099656969,0.017586524,-0.012257273
14,2023-04-21 20:11:01.306677,3.253720045,1.48679924,8.84896946,-0.099656969,0.017320061,-0.011990812
0,2023-04-21 20:11:01.336674,3.270479441,1.470039845,8.834604263,-0.102321595,0.018918836,-0.011724349
1,2023-04-21 20:11:01.336674,3.270479441,1.467645645,8.83699894,-0.102055125,0.018918836,-0.011724349
2,2023-04-21 20:11:01.336674,3.268085241,1.465251446,8.83699894,-0.102055125,0.019185297,-0.011724349
3,2023-04-21 20:11:01.336674,3.265691042,1.460463047,8.832210541,-0.102321595,0.019185297,-0.011724349
4,2023-04-21 20:11:01.336674,3.265691042,1.458068848,8.825027466,-0.10258805,0.018918836,-0.011724349
5,2023-04-21 20:11:01.336674,3.268085241,1.453280449,8.829815865,-0.10285452,0.018918836,-0.011724349
6,2023-04-21 20:11:01.336674,3.265691042,1.455674648,8.829815865,-0.103120975,0.018652374,-0.011457887
7,2023-04-21 20:11:01.336674,3.265691042,1.455674648,8.832210541,-0.103387438,0.018652374,-0.011457887
8,2023-04-21 20:11:01.336674,3.263296843,1.455674648,8.834604263,-0.103387438,0.018652374,-0.011191424
9,2023-04-21 20:11:01.336674,3.265691042,1.453280449,8.83699894,-0.103120975,0.018652374,-0.011191424
10,2023-04-21 20:11:01.336674,3.270479441,1.45088625,8.83699894,-0.103120975,0.018652374,-0.010924961
11,2023-04-21 20:11:01.336674,3.27287364,1.446097851,8.832210541,-0.10285452,0.018652374,-0.011191424
12,2023-04-21 20:11:01.336674,3.27287364,1.441309452,8.832210541,-0.10258805,0.018652374,-0.011191424
13,2023-04-21 20:11:01.336674,3.27287364,1.443703651,8.829815865,-0.102321595,0.018385911,-0.011191424
14,2023-04-21 20:11:01.336674,3.268085241,1.443703651,8.829815865,-0.102321595,0.018385911,-0.011191424
0,2023-04-21 20:11:01.358119,3.256114244,1.467645645,8.817844391,-0.101255737,0.019185297,-0.010924961
1,2023-04-21 20:11:01.358119,3.256114244,1.470039845,8.815450668,-0.101522207,0.018918836,-0.011191424
2,2023-04-21 20:11:01.358119,3.256114244,1.474828243,8.815450668,-0.101522207,0.018918836,-0.011191424
3,2023-04-21 20:11:01.358119,3.258508444,1.477222443,8.815450668,-0.102055125,0.018918836,-0.011191424
