,timestamp,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z,left_data_flex_1,left_data_flex_2,left_data_flex_3,left_data_flex_4,left_data_flex_5
2,1693677650338293700,1.029506683,-0.848744512,10.26753426,-0.062218986,-0.001465544,-0.008793262,-20,44,84,8,-5
3,1693677650339293700,1.029506683,-0.846350312,10.26992798,-0.062218986,-0.001598775,-0.008793262,-22,48,88,13,-7
4,1693677650340293700,1.029506683,-0.847547412,10.26873112,-0.062218986,-0.001598775,-0.008926493,-17,45,90,11,-7
0,1693677650352284800,1.015141487,-0.837970614,10.26513958,-0.062352221,-0.001598775,-0.009059724,-24,38,88,4,-5
1,1693677650353284800,1.017535686,-0.836773515,10.26513958,-0.062352221,-0.001598775,-0.009059724,-28,48,83,11,-18
2,1693677650354284800,1.018732786,-0.837970614,10.26513958,-0.062218986,-0.001598775,-0.009059724,-28,41,87,6,-9
3,1693677650355284800,1.018732786,-0.841561913,10.26394272,-0.062352221,-0.001598775,-0.009059724,-27,45,85,8,-9
4,1693677650356284800,1.017535686,-0.846350312,10.26753426,-0.062218986,-0.001465544,-0.009059724,-19,47,89,13,-2
0,1693677650368295500,1.021126986,-0.848744512,10.27351952,-0.062485453,-0.001865237,-0.009192956,-23,41,83,10,-12
1,1693677650369295500,1.017535686,-0.847547412,10.27112484,-0.062352221,-0.001732006,-0.009192956,-28,42,84,4,-13
2,1693677650370295500,1.022324085,-0.847547412,10.27112484,-0.062352221,-0.001732006,-0.009192956,-28,45,87,13,-9
3,1693677650371295500,1.025915384,-0.851138711,10.26873112,-0.06261868,-0.001598775,-0.009326187,-24,39,89,8,-5
4,1693677650372295500,1.025915384,-0.851138711,10.26513958,-0.062485453,-0.001598775,-0.009192956,-24,42,83,6,-7
0,1693677650384267700,1.027112484,-0.851138711,10.26633644,-0.06261868,-0.001598775,-0.009059724,-27,40,88,8,-6
1,1693677650385267700,1.025915384,-0.852335811,10.26753426,-0.062485453,-0.001465544,-0.009192956,-28,38,85,-1,-10
2,1693677650386267700,1.025915384,-0.85473001,10.26633644,-0.06261868,-0.001598775,-0.009059724,-24,35,85,13,-12
3,1693677650387267700,1.025915384,-0.85592711,10.26633644,-0.062485453,-0.001732006,-0.009059724,-22,43,88,13,-9
4,1693677650388267700,1.024718285,-0.852335811,10.26633644,-0.062485453,-0.001732006,-0.009059724,-15,47,90,13,-6
0,1693677650401277400,1.024718285,-0.857124209,10.26633644,-0.062085759,-0.001732006,-0.008393568,-20,46,89,14,-5
1,1693677650402277400,1.021126986,-0.85592711,10.25795746,-0.062218986,-0.001598775,-0.008526799,-21,49,90,10,-8
2,1693677650403277400,1.022324085,-0.85473001,10.26274586,-0.062218986,-0.001465544,-0.008526799,-19,49,93,10,-8
3,1693677650404277400,1.023521185,-0.857124209,10.26035118,-0.062218986,-0.001465544,-0.008526799,-27,45,90,8,-4
4,1693677650405277400,1.023521185,-0.859518409,10.25795746,-0.062218986,-0.001465544,-0.008393568,-24,53,90,13,-4
0,1693677650418267600,1.027112484,-0.85353291,10.25675964,-0.062085759,-0.001465544,-0.008526799,-17,46,90,12,-9
1,1693677650419267600,1.027112484,-0.85353291,10.25316906,-0.062085759,-0.001332312,-0.008526799,-25,43,83,12,-14
2,1693677650420267600,1.021126986,-0.85473001,10.25795746,-0.062085759,-0.001332312,-0.008393568,-20,44,91,4,-4
3,1693677650421267600,1.021126986,-0.852335811,10.25795746,-0.062085759,-0.001199081,-0.008393568,-20,47,90,11,-7
4,1693677650422267600,1.022324085,-0.851138711,10.26274586,-0.061952524,-0.001332312,-0.008393568,-17,48,85,13,-4
0,1693677650454992500,1.022324085,-0.847547412,10.24359226,-0.062218986,-0.001598775,-0.008926493,-32,32,74,2,-18
1,1693677650455992500,1.023521185,-0.849941611,10.23760605,-0.062218986,-0.001865237,-0.009059724,-33,35,77,-8,-19
2,1693677650456992500,1.024718285,-0.847547412,10.23880386,-0.062085759,-0.001998469,-0.008926493,-32,32,81,-4,-17
3,1693677650457992500,1.027112484,-0.848744512,10.24000072,-0.062085759,-0.001732006,-0.008926493,-20,50,87,14,-8
