,timestamp,right_data_Ac_X,right_data_Ac_Y,right_data_Ac_Z,right_data_Gy_X,right_data_Gy_Y,right_data_Gy_Z,right_data_flex_1,right_data_flex_2,right_data_flex_3,right_data_flex_4,right_data_flex_5
3,1693677770330676100,-0.114921682,2.410961151,10.23162079,0.054624807,-0.027445635,0.037837673,13,30,-24,-23,50
4,1693677770331676100,-0.112527482,2.409764051,10.22922707,0.054758042,-0.027312404,0.037837673,19,41,-21,-29,49
0,1693677770357496600,-0.106541976,2.412158251,10.22802925,0.053692192,-0.026513018,0.03757121,18,40,-22,-22,51
1,1693677770358496600,-0.106541976,2.409764051,10.22443867,0.053692192,-0.026646247,0.03757121,14,39,-24,-28,45
2,1693677770359496600,-0.107739076,2.409764051,10.21845245,0.053958651,-0.026779478,0.037704438,13,47,-24,-28,46
3,1693677770360496600,-0.108936176,2.410961151,10.22084713,0.054091886,-0.026779478,0.037970904,20,36,-25,-21,52
4,1693677770361496600,-0.107739076,2.412158251,10.22324085,0.054225113,-0.02691271,0.037837673,16,42,-21,-23,55
0,1693677770422573500,-0.106541976,2.41694665,10.21007347,0.053958651,-0.027045943,0.038237367,19,31,-19,-30,57
1,1693677770423573500,-0.105344877,2.41694665,10.21007347,0.054091886,-0.026646247,0.038237367,14,40,-29,-24,49
2,1693677770424573500,-0.10295067,2.41455245,10.2028904,0.054091886,-0.026646247,0.038104136,18,35,-19,-24,54
3,1693677770425573500,-0.104147777,2.412158251,10.19929886,0.054225113,-0.026513018,0.038104136,13,36,-19,-23,49
4,1693677770426573500,-0.105344877,2.407369852,10.19570827,0.054225113,-0.026646247,0.037970904,15,34,-29,-25,46
0,1693677770478516900,-0.117315881,2.419340849,10.22802925,0.054225113,-0.027179174,0.038370594,5,27,-31,-26,40
1,1693677770479516900,-0.116118781,2.418143749,10.22683239,0.054358348,-0.027045943,0.038370594,13,30,-24,-26,43
2,1693677770480516900,-0.114921682,2.41574955,10.22204399,0.054491576,-0.027045943,0.038370594,17,37,-23,-24,50
3,1693677770481516900,-0.116118781,2.41694665,10.22084713,0.054225113,-0.027045943,0.038237367,20,36,-24,-22,52
4,1693677770482516900,-0.118512981,2.41574955,10.22683239,0.054358348,-0.02691271,0.038104136,14,35,-32,-28,50
0,1693677770622596000,-0.114921682,2.410961151,10.22204399,0.053958651,-0.026646247,0.037837673,20,33,-28,-20,49
1,1693677770623596000,-0.118512981,2.407369852,10.22204399,0.054225113,-0.026779478,0.037837673,23,35,-26,-22,36
2,1693677770624596000,-0.120907187,2.409764051,10.22324085,0.054358348,-0.027045943,0.037704438,13,28,-24,-33,50
3,1693677770625596000,-0.123301387,2.409764051,10.22802925,0.054358348,-0.027179174,0.037837673,17,41,-24,-18,52
4,1693677770626596000,-0.122104287,2.409764051,10.22563553,0.054225113,-0.027312404,0.037970904,19,30,-23,-25,54
0,1693677770646585100,-0.117315881,2.425326347,10.23401546,0.054358348,-0.026779478,0.037970904,13,43,-29,-27,51
1,1693677770647585100,-0.122104287,2.426523447,10.23401546,0.054225113,-0.026513018,0.037704438,15,34,-30,-19,50
2,1693677770648585100,-0.122104287,2.425326347,10.23640919,0.054091886,-0.026246555,0.037704438,20,39,-22,-22,48
3,1693677770649585100,-0.118512981,2.425326347,10.23521233,0.053958651,-0.026246555,0.037837673,20,39,-24,-24,52
4,1693677770650585100,-0.116118781,2.422932148,10.22922707,0.054091886,-0.026513018,0.037837673,20,31,-24,-27,47
0,1693677770693559700,-0.108936176,2.41574955,10.20528507,0.054758042,-0.02691271,0.037704438,16,35,-24,-24,50
1,1693677770694559700,-0.105344877,2.41694665,10.20648193,0.054758042,-0.02691271,0.03757121,16,37,-23,-22,53
2,1693677770695559700,-0.105344877,2.419340849,10.20648193,0.054491576,-0.02691271,0.037704438,20,43,-19,-30,50
3,1693677770696559700,-0.106541976,2.419340849,10.21127033,0.054491576,-0.026646247,0.03757121,21,35,-23,-26,48
4,1693677770697559700,-0.104147777,2.41694665,10.21725559,0.054491576,-0.026379786,0.037437979,11,30,-24,-20,50
0,1693677770757496900,-0.120907187,2.409764051,10.21127033,0.054091886,-0.026513018,0.037837673,14,41,-25,-21,50
1,1693677770758496900,-0.119710088,2.407369852,10.21246719,0.054225113,-0.026379786,0.037704438,20,36,-28,-24,53
2,1693677770759496900,-0.120907187,2.404975653,10.21486187,0.054091886,-0.026646247,0.037704438,13,37,-18,-27,53
3,1693677770760496900,-0.119710088,2.404975653,10.21246719,0.054225113,-0.026779478,0.037704438,18,44,-24,-20,52
4,1693677770761496900,-0.116118781,2.407369852,10.21366405,0.054225113,-0.026646247,0.037704438,13,39,-28,-30,45
